name	id	prev	n	estimate	lower	upper	se	p.value	q.value	message
nitrate reduction (dissimilatory)	MF0101	1	8118	0.0792496082676411	0.0378785981388792	0.120620618396403	0.0211048437963796	0.000174543771881913	0.00361995572312248	
anaerobic fatty acid beta-oxidation	MF0059	0.999630450849963	8118	0.0798684593749316	0.0380728744878035	0.12166404426206	0.0213214352482839	0.000180997786156124	0.00361995572312248	
proline degradation	MF0040	1	8118	0.0723465631941916	0.0304521668118051	0.114240959576578	0.0213718431572551	0.00071486323778077	0.00953150983707693	
propionate production I	MF0093	0.429169746242917	8118	0.0709112130867371	0.0270086444448003	0.114813781728674	0.0223962831868255	0.00155023559019815	0.0155023559019815	
fucose degradation	MF0016	1	8118	0.0639116717233677	0.022418769587314	0.105404573859421	0.021167025383543	0.00254078629660881	0.0203262903728705	
lactate consumption II	MF0080	1	8118	0.0644279610645984	0.0218079319020828	0.107047990227114	0.0217420132609901	0.00305265343978472	0.0203510229318981	
lactate consumption I	MF0079	1	8118	0.0648802223867844	0.0211409932840767	0.108619451489492	0.0223129574800046	0.00365057415474526	0.0208604237414015	
asparagine degradation	MF0042	1	8118	0.0593157065034493	0.0170498293033097	0.101581583703589	0.0215613484586782	0.00595439656523032	0.0264184672040122	
arginine degradation II	MF0052	0.582039911308204	8118	0.0650988425413459	0.0185129058841001	0.111684779198592	0.0237651666313503	0.0061715424847679	0.0264184672040122	
lysine degradation II	MF0058	1	8118	0.0582434211955176	0.0162198240773875	0.100267018313648	0.0214377512945368	0.00660461680100305	0.0264184672040122	
valine degradation I	MF0041	1	8118	0.0559407210195374	0.0143701430633519	0.0975112989757229	0.021206650392239	0.00835865851189234	0.0303951218614267	
