alpha	model	estimate	lower	upper	se	p.value	n	message
shannon	basic	-0.168664118994676	-0.263784691435714	-0.0735435465536374	0.0485251616021173	0.000511759533441145	8972	
simpson	basic	-1.37408773581999	-2.599670838392	-0.148504633247982	0.625223498607878	0.0279924103744585	8972	
invsimpson	basic	-0.00364633678831145	-0.00659522853554468	-0.000697445041078214	0.00150435857391797	0.0153769251508781	8972	
chao	basic	-0.000911472633053676	-0.00140437773909549	-0.000418567527011859	0.000251452435710606	0.000290772506497853	8972	
shannon	basic+smoke	-0.13296862039273	-0.229549433494328	-0.0363878072911326	0.0492698277036111	0.00697306132354498	8637	
simpson	basic+smoke	-1.13244217998245	-2.36430947861613	0.0994251186512387	0.628425938561948	0.0715760904717998	8637	
invsimpson	basic+smoke	-0.00240937280673237	-0.00540020951147349	0.000581463898008739	0.00152574827280843	0.11434068253305	8637	
chao	basic+smoke	-0.000690739111596967	-0.00119173407574158	-0.000189744147452359	0.000255578044674449	0.00689246330757712	8637	
shannon	basic+pa	-0.140711339340088	-0.23989613623456	-0.0415265424456155	0.0505980765064648	0.00543196121318281	8464	
simpson	basic+pa	-1.16639541399206	-2.43402640595789	0.101235577973767	0.646668546548125	0.0713145695523029	8464	
invsimpson	basic+pa	-0.00262878112260137	-0.00567483410694204	0.000417271861739301	0.0015539117531697	0.0907370215518178	8464	
chao	basic+pa	-0.000768884286879582	-0.00128093777096003	-0.000256830802799136	0.000261218672205953	0.00325470004737791	8464	
shannon	basic+carb	-0.179188049049218	-0.275671378578176	-0.08270471952026	0.0492202639473908	0.000273647354710861	8844	
simpson	basic+carb	-1.433989003694	-2.68231928451432	-0.185658722873688	0.636826542347261	0.0243613724501126	8844	
invsimpson	basic+carb	-0.00407272285582866	-0.00704708441276064	-0.00109836129889667	0.00151734877077332	0.00728616607386506	8844	
chao	basic+carb	-0.000937788885019609	-0.00143489788435202	-0.000440679885687197	0.000253596511600101	0.000218676004594956	8844	
shannon	basic+protein	-0.177039560815107	-0.273375117944661	-0.0807040036855532	0.0491448789598019	0.000317045158979734	8844	
simpson	basic+protein	-1.42860289989103	-2.67621751283833	-0.180988286943722	0.636461449106234	0.0248186279313161	8844	
invsimpson	basic+protein	-0.00402781646261576	-0.00699899597729927	-0.00105663694793225	0.0015157254753383	0.00789005811089847	8844	
chao	basic+protein	-0.000926355246907865	-0.00142312344166136	-0.000429587052154374	0.000253422652718338	0.000258313640400241	8844	
shannon	basic+fiber	-0.170877105133525	-0.26746609412371	-0.0742881161433397	0.0492741655173832	0.000527103534397847	8844	
simpson	basic+fiber	-1.3758700852423	-2.62356903718174	-0.128171133302851	0.636504471879437	0.0306758881975393	8844	
invsimpson	basic+fiber	-0.00385654940380837	-0.00683285738938087	-0.00088024141823587	0.00151834172605718	0.0111032473024114	8844	
chao	basic+fiber	-0.000905743526712632	-0.00140444770966333	-0.000407039343761938	0.00025441028526039	0.000372589010669706	8844	
shannon	basic+sbp	-0.130475064827557	-0.225105373281431	-0.0358447563736823	0.0482750524897624	0.00689011294844231	8968	
simpson	basic+sbp	-1.13698493312542	-2.35370664280099	0.0797367765501436	0.620702871757864	0.0670192844567647	8968	
invsimpson	basic+sbp	-0.0028227229243437	-0.00575198479856251	0.0001065389498751	0.00149434440316355	0.0589328969979887	8968	
chao	basic+sbp	-0.000656886106556488	-0.00114803385120362	-0.000165738361909357	0.000250555906037114	0.0087638407524569	8968	
shannon	basic+dbp	-0.137712905776303	-0.232577925972961	-0.0428478855796449	0.0483947891431804	0.00444277033095703	8968	
simpson	basic+dbp	-1.19759535277238	-2.41734014454511	0.0221494390003552	0.622245078704939	0.0543069238282445	8968	
invsimpson	basic+dbp	-0.00300341595766213	-0.00593985181168494	-6.69801036393197e-05	0.00149800416306058	0.0449993297622983	8968	
chao	basic+dbp	-0.000695609034215538	-0.00118813997474742	-0.000203078093683656	0.00025126153400418	0.00564380589186252	8968	
shannon	basic+chol	-0.181239213854562	-0.276510974362709	-0.0859674533464157	0.0486022741346221	0.000193422537296295	8953	
simpson	basic+chol	-1.46510509332238	-2.69122241929413	-0.238987767350638	0.6254958376264	0.0191868815544547	8953	
invsimpson	basic+chol	-0.00399490504911209	-0.00694693486401403	-0.00104287523421015	0.00150595897369801	0.00799860808779363	8953	
chao	basic+chol	-0.000967511674195341	-0.00146104497823252	-0.00047397837015816	0.000251772827791547	0.000122492766349163	8953	
shannon	basic+hdl	-0.134199479169589	-0.23037689884647	-0.0380220594927079	0.0490642888827369	0.00624713134640841	8951	
simpson	basic+hdl	-1.15399274838221	-2.38283728830171	0.0748517915372942	0.626887087559163	0.0656799571924227	8951	
invsimpson	basic+hdl	-0.00277273451519052	-0.00573998135582947	0.000194512325448417	0.00151372179255542	0.0670248355194409	8951	
chao	basic+hdl	-0.000697025093890886	-0.00119725974873379	-0.000196790439047982	0.000255191472791413	0.00631948082176395	8951	
shannon	basic+ldl	-0.178546764076243	-0.273703033902594	-0.0833904942498933	0.0485433550391872	0.000236384432414492	8950	
simpson	basic+ldl	-1.45713764343043	-2.68242012859418	-0.231855158266677	0.625069920062778	0.0197673426643907	8950	
invsimpson	basic+ldl	-0.00390871606251499	-0.00685738924314461	-0.000960042881885361	0.00150424653855462	0.0093800065691945	8950	
chao	basic+ldl	-0.000952205665534869	-0.00144522483527389	-0.000459186495795843	0.000251510533979439	0.00015413855423547	8950	
shannon	basic+tg	-0.0871297820800138	-0.183543320651976	0.00928375649194806	0.0491847454189174	0.0765154186878868	8954	
simpson	basic+tg	-0.862796775370256	-2.08785144934209	0.362257898601577	0.62495374489823	0.167443982602311	8954	
invsimpson	basic+tg	-0.00190440481479863	-0.00486571365652599	0.00105690402692873	0.00151069263357233	0.207480161492331	8954	
chao	basic+tg	-0.000378358383714836	-0.000882903217827391	0.00012618645039772	0.000257390291623333	0.141602993060374	8954	
shannon	basic+diab	-0.120446395213896	-0.217831570777839	-0.0230612196499525	0.0496800946181801	0.0153529094344143	8551	
simpson	basic+diab	-1.00617876435696	-2.25041372631832	0.238056197604403	0.63473427459744	0.112959127322621	8551	
invsimpson	basic+diab	-0.00224499540970276	-0.00525186797617576	0.00076187715677025	0.00153392661871215	0.143351170886821	8551	
chao	basic+diab	-0.000671784307190979	-0.00117619696622473	-0.000167371648157231	0.000257321183090486	0.00905212326013073	8551	
shannon	basic+bmi	-0.098767137917047	-0.195049307652162	-0.00248496818193193	0.0491177416972107	0.0443743068255227	8972	
simpson	basic+bmi	-0.919570238048149	-2.14497683934362	0.30583636324732	0.625133452520353	0.14132712438367	8972	
invsimpson	basic+bmi	-0.00183004317651056	-0.00479872297033366	0.00113863661731255	0.00151445329457721	0.226931348023325	8972	
chao	basic+bmi	-0.000471413262912453	-0.000974392863832158	3.15663380072523e-05	0.000256591861132488	0.0662123373105752	8972	
shannon	basic+chol_med	-0.144174096874176	-0.240734534746131	-0.0476136590022222	0.0492593611498209	0.00343343653923983	8549	
simpson	basic+chol_med	-1.16358367460212	-2.40146058717054	0.074293237966309	0.631490758016581	0.0654228108801502	8549	
invsimpson	basic+chol_med	-0.00283630276216909	-0.00582521776548566	0.000152612241147473	0.00152476568984069	0.0628981950263331	8549	
chao	basic+chol_med	-0.00078076424396828	-0.00128083161102677	-0.000280696876909793	0.000255104466155787	0.0022161332789465	8549	
shannon	basic+bp_med	-0.125659464589994	-0.222225416516517	-0.0290935126634705	0.049262169118868	0.0107641718733844	8543	
simpson	basic+bp_med	-1.10312523457578	-2.33906562149907	0.132815152347519	0.630502799726542	0.080224451404979	8543	
invsimpson	basic+bp_med	-0.00265754034937487	-0.00564244999194101	0.000327369293191262	0.00152272224431773	0.0809767544531282	8543	
chao	basic+bp_med	-0.000641683641120363	-0.00114240300020091	-0.000140964282039818	0.000255437046164082	0.0120200185753926	8543	
shannon	basic+diab_med	-0.122121906400834	-0.219519864039932	-0.0247239487617353	0.0496866086459808	0.0139974013451344	8543	
simpson	basic+diab_med	-0.979992316241884	-2.22484749474537	0.264862862261599	0.635050591415008	0.122826607968923	8543	
invsimpson	basic+diab_med	-0.00229324456652328	-0.00529998108773142	0.000713491954684854	0.00153385701058019	0.134930066738882	8543	
chao	basic+diab_med	-0.000692618097276903	-0.00119679589898035	-0.000188440295573453	0.000257201337413063	0.00709731694852638	8543	
